name	dtype	offset	shape
FileMagicNum	>u4	0	0
FileVersion	>u2	4	0
FileType	>u2	6	0
SWdate	>S10	8	0
TimeStep	>f8	24	0
ChanNum	>u1	32	0
EightBit	>u1	33	0
Scaling	>f4	36	ChanNum,4
XResolution	>u4	100	0
YResolution	>u4	104	0
Oversampling	>u1	108	0
AIDelay	>i2	109	0
ZeissScanSpeed	>u1	111	0
ScanRate	>f8	112	0
FramelineRampdownRatio	>f8	120	0
Xmin	>f8	128	0
Xmax	>f8	136	0
AI1	>u1	151	0
AI2	>u1	152	0
AI3	>u1	153	0
AI4	>u1	154	0
Notes	>S200	180	0
DetA	>S10	380	0
DetB	>S18	390	0
DetC	>S20	410	0
DetD	>S20	430	0
Mag	>f4	460	0
PixelSize	>f4	464	0
WD	>f4	468	0
EHT	>f4	472	0
SEMApr	>u1	480	0
HighCurrent	>u1	481	0
SEMCurr	>f4	490	0
SEMRot	>f4	494	0
ChamVac	>f4	498	0
GunVac	>f4	502	0
SEMShiftX	>f4	510	0
SEMShiftY	>f4	514	0
SEMStiX	>f4	518	0
SEMStiY	>f4	522	0
SEMAlnX	>f4	526	0
SEMAlnY	>f4	530	0
StageX	>f4	534	0
StageY	>f4	538	0
StageZ	>f4	542	0
StageT	>f4	546	0
StageR	>f4	550	0
StageM	>f4	554	0
BrightnessA	>f4	560	0
ContrastA	>f4	564	0
BrightnessB	>f4	568	0
ContrastB	>f4	572	0
Mode	>u1	600	0
FIBFocus	>f4	604	0
FIBProb	>u1	608	0
FIBCurr	>f4	620	0
FIBRot	>f4	624	0
FIBAlnX	>f4	628	0
FIBAlnY	>f4	632	0
FIBStiX	>f4	636	0
FIBStiY	>f4	640	0
FIBShiftX	>f4	644	0
FIBShiftY	>f4	648	0
FileLength	>i8	1000	0
